20170707 02:05:00,293100,293212,292979,293221
20170707 02:10:00,293222,293300,292820,293113
20170707 02:15:00,293126,293300,293097,293309
20170707 02:20:00,293239,293309,293239,293213
20170707 02:25:00,293218,293300,292662,293032
20170707 02:30:00,293041,293098,292745,293240
20170707 02:35:00,293018,293160,292841,293137
20170707 02:40:00,293154,293310,292730,293274
20170707 02:45:00,293275,293360,292743,293150
20170707 02:50:00,293148,293200,293148,293299
20170707 02:55:00,293359,293400,293299,293400
20170707 03:00:00,293414,293451,293020,293126
20170707 03:05:00,293121,293337,292781,293318
20170707 03:10:00,293318,293469,293318,293364
20170707 03:15:00,293365,293460,293212,293374
20170707 03:20:00,293374,293374,292700,292841
20170707 03:25:00,292841,293154,292780,293136
20170707 03:30:00,293133,293212,293062,293112
20170707 03:35:00,293113,293160,292750,293159
20170707 03:40:00,293223,293429,293223,293071
20170707 03:45:00,293070,293440,293070,293170
20170707 03:50:00,293077,293325,293077,293030
20170707 03:55:00,293069,293310,292979,293330
20170707 04:00:00,293400,293480,293400,293490
20170707 04:05:00,293400,293480,293400,293490
20170707 04:10:00,293400,293480,293400,293490
20170707 04:15:00,293414,293500,293125,293428
20170707 04:20:00,293428,293552,292948,293363
20170707 04:25:00,293363,293600,293362,293524
20170707 04:30:00,293523,293540,293241,293344
20170707 04:35:00,293343,293650,293241,293381
20170707 04:40:00,293380,293481,293240,293241
20170707 04:45:00,293240,293500,293170,293459
20170707 04:50:00,293459,293559,293459,293592
20170707 04:55:00,293592,293700,293500,293719
20170707 05:00:00,293720,294000,293720,294000
20170707 05:05:00,294000,294235,293900,294001
20170707 05:10:00,293951,294315,293951,294041
20170707 05:15:00,294040,294115,293819,293981
20170707 05:20:00,293953,294350,293953,294098
20170707 05:25:00,294098,294444,293915,294330
20170707 05:30:00,294329,294531,294025,294240
20170707 05:35:00,294240,294590,294152,294560
20170707 05:40:00,294583,294583,294101,294340
20170707 05:45:00,294101,294389,293970,294239
20170707 05:50:00,294240,294371,293911,294260
20170707 05:55:00,294260,294340,293843,294250
20170707 06:00:00,294251,294450,294189,294450
20170707 06:05:00,294450,294500,294350,294329
20170707 06:10:00,294500,294520,294111,294316
20170707 06:15:00,294237,294650,294140,294393
20170707 06:20:00,294388,294710,294236,294379
20170707 06:25:00,294379,294600,294205,294363
20170707 06:30:00,294363,294578,294011,294044
20170707 06:35:00,294043,294100,293070,293070
20170707 06:40:00,293070,293645,292630,292861
20170707 06:45:00,293010,293160,292501,292919
20170707 06:50:00,292919,293146,292707,292821
20170707 06:55:00,293146,293604,292900,293519
20170707 07:00:00,293520,293648,293235,293610
20170707 07:05:00,293610,293840,293608,293780
20170707 07:10:00,293780,294289,293780,294100
20170707 07:15:00,294100,294240,293500,293643
20170707 07:20:00,293639,293899,293490,293549
20170707 07:25:00,293552,294000,293500,293696
20170707 07:30:00,293835,293979,293627,293991
20170707 07:35:00,294000,294137,293589,293998
20170707 07:40:00,293998,294100,293746,293840
20170707 07:45:00,293788,294279,293576,293601
20170707 07:50:00,293601,294001,293501,293700
20170707 07:55:00,293700,293889,293480,293480
20170707 08:00:00,293765,293816,293450,293607
20170707 08:05:00,293587,293800,293408,293539
20170707 08:10:00,293763,294000,293471,294000
20170707 08:15:00,294000,294000,293570,293572
20170707 08:20:00,293572,293999,293559,293950
20170707 08:25:00,293960,293970,293540,293754
20170707 08:30:00,293755,293999,293603,293860
20170707 08:35:00,293860,293990,293860,293843
20170707 08:40:00,293853,294130,293700,294100
20170707 08:45:00,294100,294100,293656,293602
20170707 08:50:00,293601,293880,293486,293402
20170707 08:55:00,293400,293784,293338,293672
20170707 09:00:00,293669,293850,293648,293900
20170707 09:05:00,293900,294140,293671,293798
20170707 09:10:00,293798,294085,293776,294100
20170707 09:15:00,294000,294300,293927,293801
20170707 09:20:00,293800,294350,293771,293900
20170707 09:25:00,293900,294153,293696,293949
20170707 09:30:00,293950,293950,293530,293839
20170707 09:35:00,293671,293900,293670,293670
20170707 09:40:00,293670,293950,293591,293940
20170707 09:45:00,293950,293950,293810,293850
20170707 09:50:00,293855,293970,293591,293641
20170707 09:55:00,293960,293970,293681,293850
20170707 10:00:00,293855,293870,293591,293680
20170707 10:05:00,293551,293870,293512,293622
20170707 10:10:00,293622,293832,293500,293501
20170707 10:15:00,293500,293595,293030,293315
20170707 10:20:00,293100,293401,293000,293351
20170707 10:25:00,293351,293500,293150,293700
20170707 10:30:00,293525,293665,293223,293265
20170707 10:35:00,293265,293351,292910,293021
20170707 10:40:00,293021,293340,293000,293200
20170707 10:45:00,293200,293279,292775,293279
20170707 10:50:00,293279,293351,293000,293001
20170707 10:55:00,293000,293362,293000,293300
20170707 11:00:00,293301,293501,293124,293320
20170707 11:05:00,293320,293580,293080,293268
20170707 11:10:00,293250,293521,293223,293203
20170707 11:15:00,293202,293202,293100,293130
20170707 11:20:00,293130,293333,293080,293080
20170707 11:25:00,293145,293171,292840,292870
20170707 11:30:00,292888,293032,292669,292799
20170707 11:35:00,292723,293200,292669,292777
20170707 11:40:00,292761,293039,292700,292814
20170707 11:45:00,292739,293002,292712,292975
20170707 11:50:00,292905,293000,292500,292540
20170707 11:55:00,292615,292876,292414,292427
20170707 12:00:00,292438,292728,292000,292179
20170707 12:05:00,292438,292728,292000,292179
20170707 12:10:00,292290,292830,292179,292499
20170707 12:15:00,292499,292512,291860,291980
20170707 12:20:00,291981,292204,291555,291977
20170707 12:25:00,292077,292115,291555,291800
20170707 12:30:00,292100,292250,291555,292002
20170707 12:35:00,291980,291980,291299,291751
20170707 12:40:00,291700,291700,290790,291414
20170707 12:45:00,291350,291356,290750,291000
20170707 12:50:00,291000,291180,290520,290708
20170707 12:55:00,290708,291460,290708,291460
20170707 13:00:00,291460,292228,291250,291960
20170707 13:05:00,291761,291999,291701,291850
20170707 13:10:00,291850,291999,291460,291900
20170707 13:15:00,291900,291999,291661,291778
20170707 13:20:00,291799,291888,291605,291800
20170707 13:25:00,291800,291800,291280,291780
20170707 13:30:00,291780,291781,291560,291699
20170707 13:35:00,291600,292219,291580,291972
20170707 13:40:00,291988,292045,291510,292000
20170707 13:45:00,292019,292180,291600,291920
20170707 13:50:00,291868,291868,291370,291420
20170707 13:55:00,291420,291719,291250,291601
20170707 14:00:00,291601,291699,291299,291770
20170707 14:05:00,291700,291780,291400,291421
20170707 14:10:00,291381,292001,291381,291600
20170707 14:15:00,291675,291803,291521,291578
20170707 14:20:00,291599,291840,291322,291682
20170707 14:25:00,291682,291840,291000,291506
20170707 14:30:00,291569,291725,291529,291703
20170707 14:35:00,291724,291800,291346,291800
20170707 14:40:00,291799,291928,291799,291899
20170707 14:45:00,291858,291900,291550,291830
20170707 14:50:00,291825,292140,291820,292000
20170707 14:55:00,292037,292500,292037,292429
20170707 15:00:00,292430,292560,292203,292303
20170707 15:05:00,292303,292709,292303,292700
20170707 15:10:00,292700,292711,292390,292401
20170707 15:15:00,292401,292620,292261,292273
20170707 15:20:00,292261,292653,291965,291965
20170707 15:25:00,291965,292031,291670,292000
20170707 15:30:00,292000,292280,292000,291922
20170707 15:35:00,291932,292103,291711,291980
20170707 15:40:00,292116,292133,291683,291681
20170707 15:45:00,291681,291699,291100,291150
20170707 15:50:00,291120,291839,291000,291620
20170707 15:55:00,291619,292017,291450,291452
20170707 16:00:00,291450,291757,291000,291000
20170707 16:05:00,291000,291340,290500,290670
20170707 16:10:00,290669,291089,290610,290521
20170707 16:15:00,290520,291106,290520,291016
20170707 16:20:00,291016,291020,290100,290100
20170707 16:25:00,290080,290400,289114,290193
20170707 16:30:00,290193,290841,290000,290638
20170707 16:35:00,290638,290638,290101,290111
20170707 16:40:00,290101,290272,289580,289580
20170707 16:45:00,289781,289791,289300,289569
20170707 16:50:00,289570,290120,289429,289722
20170707 16:55:00,289709,290099,289705,289974
20170707 17:00:00,289973,289976,289480,289420
20170707 17:05:00,289550,289689,289420,289450
20170707 17:10:00,289400,289455,289090,289210
20170707 17:15:00,289211,289211,288870,288870
20170707 17:20:00,288870,289049,288490,288700
20170707 17:25:00,288700,289200,288690,288998
20170707 17:30:00,288999,289250,288750,289248
20170707 17:35:00,289100,289632,289017,289399
20170707 17:40:00,289162,289629,289041,289498
20170707 17:45:00,289498,289977,289498,289950
20170707 17:50:00,289950,290230,289681,290230
20170707 17:55:00,290230,290750,290139,290750
20170707 18:00:00,290750,290899,290100,290330
20170707 18:05:00,290330,290330,289580,289697
20170707 18:10:00,289999,289999,289511,289698
20170707 18:15:00,289698,289900,289500,289859
20170707 18:20:00,289859,290050,289859,290050
20170707 18:25:00,290050,290300,289730,289730
20170707 18:30:00,289730,290099,289600,289800
20170707 18:35:00,289800,290349,289629,290349
20170707 18:40:00,290349,290540,290140,290445
20170707 18:45:00,290455,290500,290354,290399
20170707 18:50:00,290399,290400,290250,290499
20170707 18:55:00,290498,290500,290298,290500
20170707 19:00:00,290500,291020,290468,290999
20170707 19:05:00,290994,291090,290800,290899
20170707 19:10:00,290899,291270,290800,291005
20170707 19:15:00,291004,291314,291000,291300
20170707 19:20:00,291290,291500,291290,291499
20170707 19:25:00,291499,291502,291026,291026
20170707 19:30:00,290971,291149,290679,290741
20170707 19:35:00,290741,291155,290590,291155
20170707 19:40:00,290801,291174,290800,290955
20170707 19:45:00,290968,291000,290580,290943
20170707 19:50:00,290943,291200,290697,291000
20170707 19:55:00,291006,291200,291006,291079
20170707 20:00:00,291120,291199,290711,291059
20170707 20:05:00,291059,291060,290331,290679
20170707 20:10:00,290500,290848,290019,290001
20170707 20:15:00,290000,290259,289100,289508
20170707 20:20:00,289503,289661,289430,289661
20170707 20:25:00,289730,290090,289661,290090
20170707 20:30:00,290090,290230,289935,289940
20170707 20:35:00,289940,290250,289840,290009
20170707 20:40:00,290010,290221,289361,289447
20170707 20:45:00,289395,289615,288860,288860
20170707 20:50:00,288976,289140,288648,289140
20170707 20:55:00,289060,289250,288800,288932
20170707 21:00:00,288911,289400,288737,289355
20170707 21:05:00,289000,289199,288511,288511
20170707 21:10:00,288511,289060,288300,288640
20170707 21:15:00,288640,289059,288200,288324
20170707 21:20:00,288324,288700,288324,288630
20170707 21:25:00,288412,288500,287500,287500
20170707 21:30:00,287500,288170,287500,287622
20170707 21:35:00,287622,287990,287359,287599
20170707 21:40:00,287599,287799,287130,287131
20170707 21:45:00,287131,287410,286640,287380
20170707 21:50:00,287409,287410,286650,286829
20170707 21:55:00,286829,287640,286829,287500
20170707 22:00:00,287500,288520,287410,288500
20170707 22:05:00,288500,289350,288500,288796
20170707 22:10:00,288794,289350,288690,289276
20170707 22:15:00,289290,289301,288720,288930
20170707 22:20:00,288930,289322,288793,288966
20170707 22:25:00,288961,289277,288851,288801
20170707 22:30:00,288801,288801,288141,288100
20170707 22:35:00,288100,288220,287640,287640
20170707 22:40:00,287640,287640,286860,287481
20170707 22:45:00,287481,287900,286500,286516
20170707 22:50:00,286525,287290,286516,287241
20170707 22:55:00,287230,288145,287100,287565
20170707 23:00:00,287565,288000,287565,287732
20170707 23:05:00,287731,287855,287350,287659
20170707 23:10:00,287721,288059,287400,287510
20170707 23:15:00,287501,287501,286720,287267
20170707 23:20:00,287008,288310,287007,287673
20170707 23:25:00,287660,287820,286948,287000
20170707 23:30:00,286904,287710,286736,287580
20170707 23:35:00,287580,287708,287000,287649
20170707 23:40:00,287649,288199,287328,288198
20170707 23:45:00,288177,288177,287438,287674
20170707 23:50:00,287500,287900,287290,287767
20170707 23:55:00,287502,287726,286950,287000
20170708 00:00:00,287000,287139,286580,286959
20170708 00:05:00,286761,287460,286723,287111
20170708 00:10:00,287111,287111,286000,286100
20170708 00:15:00,286005,286367,285432,286367
20170708 00:20:00,286367,287061,286120,286698
20170708 00:25:00,286551,286999,286500,286600
20170708 00:30:00,286611,287500,286611,287484
20170708 00:35:00,287470,287720,287060,287790
20170708 00:40:00,287790,287980,287150,287924
20170708 00:45:00,287924,288869,287740,288470
20170708 00:50:00,288717,288733,287760,288109
20170708 00:55:00,288109,288600,288035,288090
20170708 01:00:00,288110,289100,288080,289086
20170708 01:05:00,289086,289174,288217,288920
20170708 01:10:00,288836,289227,288190,288793
20170708 01:15:00,288794,289100,288376,288538
20170708 01:20:00,288480,288714,287564,287999
20170708 01:25:00,288000,288388,288000,288170
20170708 01:30:00,288170,288619,288142,288575
20170708 01:35:00,288600,288600,288316,288599
20170708 01:40:00,288599,288599,288361,288381
20170708 01:45:00,288381,288600,288361,288401
20170708 01:50:00,288400,288600,288361,288361
20170708 01:55:00,288361,288476,287960,288531
20170708 02:00:00,288600,288619,287570,287982
20170708 02:05:00,287528,288141,287500,287702
20170708 02:10:00,287701,288215,287701,288131
20170708 02:15:00,288078,288290,287702,288200
20170708 02:20:00,288200,288220,287750,287761
